Day,S,T,K,Value,tau,rate
44834,2.65,0.24384,2.5,0.2092,0.0191,1.06
44834,2.65,0.24384,2.55,0.1734,0.0191,1.03922
44834,2.65,0.24384,2.6,0.14,0.0191,1.01923
44834,2.65,0.24384,2.65,0.1111,0.0191,1
44834,2.65,0.24384,2.7,0.0882,0.0191,0.98148
44834,2.65,0.24384,2.75,0.0672,0.0191,0.96364
44834,2.65,0.24384,2.8,0.051,0.0191,0.94643
44834,2.65,0.24384,2.85,0.0387,0.0191,0.92982
44834,2.65,0.24384,2.9,0.0287,0.0191,0.91379
44834,2.65,0.24384,2.95,0.0205,0.0191,0.89831
44834,2.65,0.24384,3,0.0162,0.0191,0.88333
44834,2.65,0.24384,3.1,0.0095,0.0191,0.85484
44834,2.65,0.24384,3.2,0.0082,0.0191,0.82813
44834,2.65,0.24384,3.3,0.0044,0.0191,0.80303
44834,2.65,0.24384,3.4,0.0035,0.0191,0.77941
44834,2.65,0.24384,3.5,0.0029,0.0191,0.75714
44834,2.65,0.47397,2.65,0.1683,0.0191,1
44834,2.65,0.47397,2.7,0.1453,0.0191,0.98148
44834,2.65,0.47397,2.75,0.1231,0.0191,0.96364
44834,2.65,0.47397,2.8,0.1028,0.0191,0.94643
44834,2.65,0.47397,2.85,0.0865,0.0191,0.92982
44834,2.65,0.47397,2.9,0.0707,0.0191,0.91379
44834,2.65,0.47397,2.95,0.0584,0.0191,0.89831
44834,2.65,0.47397,3,0.048,0.0191,0.88333
44834,2.65,0.47397,3.1,0.032,0.0191,0.85484
44834,2.65,0.47397,2.6,0.1975,0.0191,1.01923
44834,2.65,0.47397,2.55,0.2282,0.0191,1.03922
44834,2.65,0.07123,2.55,0.121,0.0191,1.03922
44834,2.65,0.07123,2.6,0.0822,0.0191,1.01923
44834,2.65,0.07123,2.65,0.0503,0.0191,1
44834,2.65,0.07123,2.7,0.0286,0.0191,0.98148
44834,2.65,0.07123,2.75,0.0151,0.0191,0.96364
44834,2.65,0.07123,2.8,0.0079,0.0191,0.94643
44834,2.65,0.07123,2.85,0.0044,0.0191,0.92982
44834,2.65,0.07123,2.9,0.0026,0.0191,0.91379
44834,2.65,0.07123,2.95,0.0016,0.0191,0.89831
44834,2.65,0.07123,3,0.0014,0.0191,0.88333
44834,2.65,0.07123,2.5,0.166,0.0191,1.06
44834,2.65,0.47397,2.5,0.262,0.0191,1.06
44834,2.65,0.07123,2.45,0.2108,0.0191,1.08163
44834,2.65,0.24384,2.45,0.2496,0.0191,1.08163
44834,2.65,0.47397,2.45,0.2946,0.0191,1.08163
44834,2.65,0.14795,2.45,0.2281,0.0191,1.08163
44834,2.65,0.14795,2.5,0.1838,0.0191,1.06
44834,2.65,0.14795,2.55,0.1461,0.0191,1.03922
44834,2.65,0.14795,2.6,0.1127,0.0191,1.01923
44834,2.65,0.14795,2.65,0.0805,0.0191,1
44834,2.65,0.14795,2.7,0.0575,0.0191,0.98148
44834,2.65,0.14795,2.75,0.0393,0.0191,0.96364
44834,2.65,0.14795,2.8,0.0258,0.0191,0.94643
44834,2.65,0.14795,2.85,0.0168,0.0191,0.92982
44833,2.65,0.24658,2.5,0.211,0.019,1.06
44833,2.65,0.24658,2.55,0.1771,0.019,1.03922
44833,2.65,0.24658,2.6,0.1431,0.019,1.01923
44833,2.65,0.24658,2.65,0.1136,0.019,1
44833,2.65,0.24658,2.7,0.0906,0.019,0.98148
44833,2.65,0.24658,2.75,0.0698,0.019,0.96364
44833,2.65,0.24658,2.8,0.0538,0.019,0.94643
44833,2.65,0.24658,2.85,0.0413,0.019,0.92982
44833,2.65,0.24658,2.9,0.0307,0.019,0.91379
44833,2.65,0.24658,2.95,0.021,0.019,0.89831
44833,2.65,0.24658,3,0.0172,0.019,0.88333
44833,2.65,0.24658,3.1,0.0105,0.019,0.85484
44833,2.65,0.24658,3.2,0.0071,0.019,0.82813
44833,2.65,0.24658,3.3,0.0047,0.019,0.80303
44833,2.65,0.24658,3.4,0.0038,0.019,0.77941
44833,2.65,0.24658,3.5,0.0029,0.019,0.75714
44833,2.65,0.47671,2.65,0.1703,0.019,1
44833,2.65,0.47671,2.7,0.1468,0.019,0.98148
44833,2.65,0.47671,2.75,0.1249,0.019,0.96364
44833,2.65,0.47671,2.8,0.1055,0.019,0.94643
44833,2.65,0.47671,2.85,0.0875,0.019,0.92982
44833,2.65,0.47671,2.9,0.073,0.019,0.91379
44833,2.65,0.47671,2.95,0.0603,0.019,0.89831
44833,2.65,0.47671,3,0.0497,0.019,0.88333
44833,2.65,0.47671,3.1,0.034,0.019,0.85484
44833,2.65,0.47671,2.6,0.2,0.019,1.01923
44833,2.65,0.47671,2.55,0.2302,0.019,1.03922
44833,2.65,0.07397,2.55,0.124,0.019,1.03922
44833,2.65,0.07397,2.6,0.0851,0.019,1.01923
44833,2.65,0.07397,2.65,0.054,0.019,1
44833,2.65,0.07397,2.7,0.0313,0.019,0.98148
44833,2.65,0.07397,2.75,0.0174,0.019,0.96364
44833,2.65,0.07397,2.8,0.0096,0.019,0.94643
44833,2.65,0.07397,2.85,0.005,0.019,0.92982
44833,2.65,0.07397,2.9,0.0032,0.019,0.91379
44833,2.65,0.07397,2.95,0.0019,0.019,0.89831
44833,2.65,0.07397,3,0.0017,0.019,0.88333
44833,2.65,0.07397,2.5,0.1662,0.019,1.06
44833,2.65,0.47671,2.5,0.2631,0.019,1.06
44833,2.65,0.07397,2.45,0.2114,0.019,1.08163
44833,2.65,0.24658,2.45,0.2523,0.019,1.08163
44833,2.65,0.47671,2.45,0.2979,0.019,1.08163
44833,2.65,0.15068,2.45,0.23,0.019,1.08163
44833,2.65,0.15068,2.5,0.187,0.019,1.06
44833,2.65,0.15068,2.55,0.1481,0.019,1.03922
44833,2.65,0.15068,2.6,0.1136,0.019,1.01923
44833,2.65,0.15068,2.65,0.0831,0.019,1
44833,2.65,0.15068,2.7,0.0597,0.019,0.98148
44833,2.65,0.15068,2.75,0.0414,0.019,0.96364
44833,2.65,0.15068,2.8,0.028,0.019,0.94643
44833,2.65,0.15068,2.85,0.0185,0.019,0.92982
44832,2.68,0,2.85,0,0.0191,0.94035
44832,2.68,0,2.9,0,0.0191,0.92414
