Day,S,T,K,Value,tau,rate
44834.00000 ,2.65000 ,0.24384 ,2.50000 ,0.20920 ,0.01910 ,1.06000 
44834.00000 ,2.65000 ,0.24384 ,2.55000 ,0.17340 ,0.01910 ,1.03922 
44834.00000 ,2.65000 ,0.24384 ,2.60000 ,0.14000 ,0.01910 ,1.01923 
44834.00000 ,2.65000 ,0.24384 ,2.65000 ,0.11110 ,0.01910 ,1.00000 
44834.00000 ,2.65000 ,0.24384 ,2.70000 ,0.08820 ,0.01910 ,0.98148 
44834.00000 ,2.65000 ,0.24384 ,2.75000 ,0.06720 ,0.01910 ,0.96364 
44834.00000 ,2.65000 ,0.24384 ,2.80000 ,0.05100 ,0.01910 ,0.94643 
44834.00000 ,2.65000 ,0.24384 ,2.85000 ,0.03870 ,0.01910 ,0.92982 
44834.00000 ,2.65000 ,0.24384 ,2.90000 ,0.02870 ,0.01910 ,0.91379 
44834.00000 ,2.65000 ,0.24384 ,2.95000 ,0.02050 ,0.01910 ,0.89831 
44834.00000 ,2.65000 ,0.24384 ,3.00000 ,0.01620 ,0.01910 ,0.88333 
44834.00000 ,2.65000 ,0.24384 ,3.10000 ,0.00950 ,0.01910 ,0.85484 
44834.00000 ,2.65000 ,0.24384 ,3.20000 ,0.00820 ,0.01910 ,0.82813 
44834.00000 ,2.65000 ,0.24384 ,3.30000 ,0.00440 ,0.01910 ,0.80303 
44834.00000 ,2.65000 ,0.24384 ,3.40000 ,0.00350 ,0.01910 ,0.77941 
44834.00000 ,2.65000 ,0.24384 ,3.50000 ,0.00290 ,0.01910 ,0.75714 
44834.00000 ,2.65000 ,0.47397 ,2.65000 ,0.16830 ,0.01910 ,1.00000 
44834.00000 ,2.65000 ,0.47397 ,2.70000 ,0.14530 ,0.01910 ,0.98148 
44834.00000 ,2.65000 ,0.47397 ,2.75000 ,0.12310 ,0.01910 ,0.96364 
44834.00000 ,2.65000 ,0.47397 ,2.80000 ,0.10280 ,0.01910 ,0.94643 
44834.00000 ,2.65000 ,0.47397 ,2.85000 ,0.08650 ,0.01910 ,0.92982 
44834.00000 ,2.65000 ,0.47397 ,2.90000 ,0.07070 ,0.01910 ,0.91379 
44834.00000 ,2.65000 ,0.47397 ,2.95000 ,0.05840 ,0.01910 ,0.89831 
44834.00000 ,2.65000 ,0.47397 ,3.00000 ,0.04800 ,0.01910 ,0.88333 
44834.00000 ,2.65000 ,0.47397 ,3.10000 ,0.03200 ,0.01910 ,0.85484 
44834.00000 ,2.65000 ,0.47397 ,2.60000 ,0.19750 ,0.01910 ,1.01923 
44834.00000 ,2.65000 ,0.47397 ,2.55000 ,0.22820 ,0.01910 ,1.03922 
44834.00000 ,2.65000 ,0.07123 ,2.55000 ,0.12100 ,0.01910 ,1.03922 
44834.00000 ,2.65000 ,0.07123 ,2.60000 ,0.08220 ,0.01910 ,1.01923 
44834.00000 ,2.65000 ,0.07123 ,2.65000 ,0.05030 ,0.01910 ,1.00000 
44834.00000 ,2.65000 ,0.07123 ,2.70000 ,0.02860 ,0.01910 ,0.98148 
44834.00000 ,2.65000 ,0.07123 ,2.75000 ,0.01510 ,0.01910 ,0.96364 
44834.00000 ,2.65000 ,0.07123 ,2.80000 ,0.00790 ,0.01910 ,0.94643 
44834.00000 ,2.65000 ,0.07123 ,2.85000 ,0.00440 ,0.01910 ,0.92982 
44834.00000 ,2.65000 ,0.07123 ,2.90000 ,0.00260 ,0.01910 ,0.91379 
44834.00000 ,2.65000 ,0.07123 ,2.95000 ,0.00160 ,0.01910 ,0.89831 
44834.00000 ,2.65000 ,0.07123 ,3.00000 ,0.00140 ,0.01910 ,0.88333 
44834.00000 ,2.65000 ,0.07123 ,2.50000 ,0.16600 ,0.01910 ,1.06000 
44834.00000 ,2.65000 ,0.47397 ,2.50000 ,0.26200 ,0.01910 ,1.06000 
44834.00000 ,2.65000 ,0.07123 ,2.45000 ,0.21080 ,0.01910 ,1.08163 
44834.00000 ,2.65000 ,0.24384 ,2.45000 ,0.24960 ,0.01910 ,1.08163 
44834.00000 ,2.65000 ,0.47397 ,2.45000 ,0.29460 ,0.01910 ,1.08163 
44834.00000 ,2.65000 ,0.14795 ,2.45000 ,0.22810 ,0.01910 ,1.08163 
44834.00000 ,2.65000 ,0.14795 ,2.50000 ,0.18380 ,0.01910 ,1.06000 
44834.00000 ,2.65000 ,0.14795 ,2.55000 ,0.14610 ,0.01910 ,1.03922 
44834.00000 ,2.65000 ,0.14795 ,2.60000 ,0.11270 ,0.01910 ,1.01923 
44834.00000 ,2.65000 ,0.14795 ,2.65000 ,0.08050 ,0.01910 ,1.00000 
44834.00000 ,2.65000 ,0.14795 ,2.70000 ,0.05750 ,0.01910 ,0.98148 
